variable,type,units,factor levels,valid range,missing count,missing means,notes,documentation checks
notification_date,date,calendar date,Not categorical,valid calendar date; no 2025-only restriction,0,Blank in extracted/derived field; consult original PDF before inferring absence.,Reported notification date; not necessarily filing date.,0 violations of the implemented domain check; source meaning not independently validated.
amount_min,float,USD,Not categorical,nonnegative USD or blank where not applicable/unresolved,10,No usable range endpoint: exact amount or unresolved range; inspect amount_status.,Lower endpoint of a disclosed band; never substitute for the exact trade value.,0 violations of the implemented domain check; source meaning not independently validated.
amount_max,float,USD,Not categorical,nonnegative USD or blank where not applicable/unresolved,10,No usable range endpoint: exact amount or unresolved range; inspect amount_status.,Upper endpoint of a disclosed band; blank for exact amounts or unresolved ranges.,0 violations of the implemented domain check; source meaning not independently validated.
amount_exact,float,USD,Not categorical,nonnegative USD or blank where not applicable/unresolved,7658,"No extracted exact amount: usually a range, possibly unresolved.","Exact amount only when explicitly reported; one reviewed $2,000 value restored.",0 violations of the implemented domain check; source meaning not independently validated.
amount_category,category,not applicable (text/code/flag),"'', '$1,000,001 - $5,000,000', '$1,001 - $15,000', '$100,001 - $250,000', '$15,001 - $50,000', '$25,000,001 - $50,000,000', '$250,001 - $500,000', '$5,000,001 - $25,000,000', '$50,001 - $100,000', '$500,001 - $1,000,000'","source/parser-defined codes; observed levels listed, not a universal codebook",10,Blank in extracted/derived field; consult original PDF before inferring absence.,Source amount-band/text label; may contain a single exact amount.,No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
amount_status,category,not applicable (text/code/flag),"'missing_range_bound', 'nonstandard_exact', 'valid_range'","valid_range, nonstandard_exact, missing_range_bound (observed parser classes)",0,Blank in extracted/derived field; consult original PDF before inferring absence.,Parser classification plus the one reviewed P2 reclassification.,No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
filing_status,category,not applicable (text/code/flag),"'', 'Amended', 'Deleted', 'New', 'New $200?'","source/parser-defined codes; observed levels listed, not a universal codebook",1,Blank in extracted/derived field; consult original PDF before inferring absence.,Source status of the entry; not an independent duplicate decision.,No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
subholding,string,not applicable (text/code/flag),Not categorical,source text or identifier; no numeric bounds,1077,Blank in extracted/derived field; consult original PDF before inferring absence.,Reported account/subholding description; no separate entity resolution.,No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
location,string,not applicable (text/code/flag),Not categorical,source text or identifier; no numeric bounds,7484,Blank in extracted/derived field; consult original PDF before inferring absence.,Location text only when present/extracted; blank is not zero.,No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
description,string,not applicable (text/code/flag),Not categorical,source text or identifier; no numeric bounds,6369,Blank in extracted/derived field; consult original PDF before inferring absence.,Source transaction description; may distinguish superficially duplicate rows.,No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
comments,string,not applicable (text/code/flag),Not categorical,source text or identifier; no numeric bounds,7386,Blank in extracted/derived field; consult original PDF before inferring absence.,Source comments when present/extracted.,No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
page,integer,PDF page number,Not categorical,positive integer,0,Blank in extracted/derived field; consult original PDF before inferring absence.,First source PDF page for the extracted transaction (one-based).,0 violations of the implemented domain check; source meaning not independently validated.
last_page,integer,PDF page number,Not categorical,positive integer,0,Blank in extracted/derived field; consult original PDF before inferring absence.,Last page contributing text; may differ for a continuation.,0 violations of the implemented domain check; source meaning not independently validated.
page_parse_method,category,not applicable (text/code/flag),"'date_anchor_recovery', 'relaxed_table', 'table'","source/parser-defined codes; observed levels listed, not a universal codebook",0,Blank in extracted/derived field; consult original PDF before inferring absence.,Parser route used; a method label is not an accuracy guarantee.,No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
page_recovery_used,boolean,not applicable (text/code/flag),"'False', 'True'",True or False,0,Blank in extracted/derived field; consult original PDF before inferring absence.,Whether the parser used its page-recovery route.,0 violations of the implemented domain check; source meaning not independently validated.
filing_page_completeness_issue,boolean,not applicable (text/code/flag),'False',True or False,0,Blank in extracted/derived field; consult original PDF before inferring absence.,Parser suspects a page coverage problem; not proof of complete coverage when False.,0 violations of the implemented domain check; source meaning not independently validated.
suspected_missed_pages,string,not applicable (text/code/flag),Not categorical,source text or identifier; no numeric bounds,7667,No corresponding issue recorded by parser; not independent validation.,Parser's page identifiers needing review; blank means none flagged.,No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
page_continuation_used,boolean,not applicable (text/code/flag),"'False', 'True'",True or False,0,Blank in extracted/derived field; consult original PDF before inferring absence.,Whether text continued across pages for this row.,0 violations of the implemented domain check; source meaning not independently validated.
duplicate_geometry_rows_merged,integer,count or sequence index,Not categorical,nonnegative integer,0,Blank in extracted/derived field; consult original PDF before inferring absence.,"Count of geometry fragments merged by upstream parsing, not proven duplicate trades removed.",0 violations of the implemented domain check; source meaning not independently validated.
possible_adjacent_same_signature,boolean,not applicable (text/code/flag),"'False', 'True'",True or False,0,Blank in extracted/derived field; consult original PDF before inferring absence.,Similar adjacent trade fields; retain unless source evidence justifies deletion.,0 violations of the implemented domain check; source meaning not independently validated.
row_shaded,boolean,not applicable (text/code/flag),"'False', 'True'",True or False,0,Blank in extracted/derived field; consult original PDF before inferring absence.,PDF shading detection; does not itself determine transaction meaning.,0 violations of the implemented domain check; source meaning not independently validated.
geometry_quality_score,float,heuristic points,Not categorical,0–100 heuristic points,0,Blank in extracted/derived field; consult original PDF before inferring absence.,"Parser heuristic score, not a probability of correctness.",0 violations of the implemented domain check; source meaning not independently validated.
unicode_repair_applied,boolean,not applicable (text/code/flag),"'False', 'True'",True or False,0,Blank in extracted/derived field; consult original PDF before inferring absence.,Parser normalized special font characters in extracted text.,0 violations of the implemented domain check; source meaning not independently validated.
unicode_repair_count,integer,count or sequence index,Not categorical,nonnegative integer,0,Blank in extracted/derived field; consult original PDF before inferring absence.,Count reported by the parser's text normalization routine.,0 violations of the implemented domain check; source meaning not independently validated.
needs_review,boolean,not applicable (text/code/flag),"'False', 'True'",True or False,0,Blank in extracted/derived field; consult original PDF before inferring absence.,Original parser flag retained even after a P2 review; no flag is not proof of correctness.,0 violations of the implemented domain check; source meaning not independently validated.
original_pdf_url,string,not applicable (text/code/flag),Not categorical,House public disclosure PDF URL,0,Blank in extracted/derived field; consult original PDF before inferring absence.,Official House PDF link; archival copy remains in data/raw.,No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
review_level,category,not applicable (text/code/flag),"'', 'high', 'low'","source/parser-defined codes; observed levels listed, not a universal codebook",7461,No corresponding issue recorded by parser; not independent validation.,"Parser review severity, not a final human verdict.",No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
review_reason,string,not applicable (text/code/flag),Not categorical,source text or identifier; no numeric bounds,7461,No corresponding issue recorded by parser; not independent validation.,Original reasons kept as history; see the P2 log for reviewed outcomes.,No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
owner_raw,string,not applicable (text/code/flag),Not categorical,source text or identifier; no numeric bounds,3799,Blank in extracted/derived field; consult original PDF before inferring absence.,Extracted owner-cell text before field interpretation.,No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
asset_raw,string,not applicable (text/code/flag),Not categorical,source text or identifier; no numeric bounds,0,Blank in extracted/derived field; consult original PDF before inferring absence.,"Extracted asset-cell text; may include nearby fragments, not a PDF facsimile.",No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
asset_lookup_context,string,not applicable (text/code/flag),Not categorical,source text or identifier; no numeric bounds,0,Blank in extracted/derived field; consult original PDF before inferring absence.,Source-derived text provided to ticker resolution.,No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
transaction_type_raw,string,not applicable (text/code/flag),Not categorical,source text or identifier; no numeric bounds,0,Blank in extracted/derived field; consult original PDF before inferring absence.,Extracted type-cell text can include neighboring description fragments.,No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
transaction_date_raw,string,not applicable (text/code/flag),Not categorical,source text or identifier; no numeric bounds,0,Blank in extracted/derived field; consult original PDF before inferring absence.,Extracted date-cell text; 2025-01-13 example includes option-description fragments.,No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
notification_date_raw,string,not applicable (text/code/flag),Not categorical,source text or identifier; no numeric bounds,0,Blank in extracted/derived field; consult original PDF before inferring absence.,Extracted notification-cell text before date parsing.,No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
amount_raw,string,not applicable (text/code/flag),Not categorical,source text or identifier; no numeric bounds,0,Blank in extracted/derived field; consult original PDF before inferring absence.,Extracted amount text retained unchanged beside parsed dollar fields.,No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
continuation_raw,string,not applicable (text/code/flag),Not categorical,source text or identifier; no numeric bounds,3770,Blank in extracted/derived field; consult original PDF before inferring absence.,Text attached by the continuation routine; blank when none attached.,No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
detail_raw,string,not applicable (text/code/flag),Not categorical,source text or identifier; no numeric bounds,0,Blank in extracted/derived field; consult original PDF before inferring absence.,Whole extracted row/detail text; original layout remains in the PDF.,No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
review_reason_v8_1,string,not applicable (text/code/flag),Not categorical,source text or identifier; no numeric bounds,7461,No corresponding issue recorded by parser; not independent validation.,Review reasons before ticker resolution.,No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
review_level_v8_1,category,not applicable (text/code/flag),"'', 'high', 'low'","source/parser-defined codes; observed levels listed, not a universal codebook",7461,No corresponding issue recorded by parser; not independent validation.,Review severity before ticker resolution.,No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
needs_review_v8_1,boolean,not applicable (text/code/flag),"'False', 'True'",True or False,0,Blank in extracted/derived field; consult original PDF before inferring absence.,Review flag before ticker resolution.,0 violations of the implemented domain check; source meaning not independently validated.
geometry_quality_score_v8_1,float,heuristic points,Not categorical,0–100 heuristic points,0,Blank in extracted/derived field; consult original PDF before inferring absence.,Heuristic score before ticker resolution.,0 violations of the implemented domain check; source meaning not independently validated.
ticker_candidate_raw,string,not applicable (text/code/flag),Not categorical,source text or identifier; no numeric bounds,837,"No extracted candidate/evidence, or not applicable; inspect asset_type and status.",Resolver candidate when supplied; blank may mean none required.,No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
ticker_parse_status,category,not applicable (text/code/flag),"'accepted', 'not_applicable'","accepted, not_applicable, ambiguous_preserved",0,"No extracted candidate/evidence, or not applicable; inspect asset_type and status.","accepted/not_applicable/ambiguous_preserved describe resolver decisions, not human verification.",0 violations of the implemented domain check; source meaning not independently validated.
ticker_validation_source,category,not applicable (text/code/flag),"'', 'house_ptr_structure+v8_1'","source/parser-defined codes; observed levels listed, not a universal codebook",837,"No extracted candidate/evidence, or not applicable; inspect asset_type and status.",Resolver's evidence-source label; blank may be not applicable.,No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
ticker_changed,boolean,not applicable (text/code/flag),'False',True or False,0,"No extracted candidate/evidence, or not applicable; inspect asset_type and status.",Whether the resolver changed ticker text relative to V8.1.,0 violations of the implemented domain check; source meaning not independently validated.
asset_changed_by_ticker_resolver,boolean,not applicable (text/code/flag),'False',True or False,0,Blank in extracted/derived field; consult original PDF before inferring absence.,Whether the resolver changed asset text relative to V8.1.,0 violations of the implemented domain check; source meaning not independently validated.
raw_date_has_extra_text,boolean,not applicable (text/code/flag),"'False', 'True'",True or False,0,Blank in extracted/derived field; consult original PDF before inferring absence.,True for nonblank strings failing the date-only shape; False is not proof of a valid calendar date.,0 violations of the implemented domain check; source meaning not independently validated.
raw_date_prefix,string,not applicable (text/code/flag),Not categorical,MM/DD/YYYY-shaped prefix or blank; calendar check separate,0,No leading date-shaped token found.,Leading MM/DD/YYYY-shaped token; separate calendar-validity parsing is required.,No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
date_prefix_disagrees,boolean,not applicable (text/code/flag),'False',True or False,0,Blank in extracted/derived field; consult original PDF before inferring absence.,True only when a readable prefix differs from the normalized date; False can include unreadable prefixes.,0 violations of the implemented domain check; source meaning not independently validated.
amount_exact_before_p2,float,USD,Not categorical,nonnegative USD or blank where not applicable/unresolved,7659,"No extracted exact amount: usually a range, possibly unresolved.",Pre-P2 exact amount; use to reverse the manual correction.,"Filing 20033320/1 was blank despite PDF showing $2,000; corrected in amount_exact."
amount_status_before_p2,category,not applicable (text/code/flag),"'missing_range_bound', 'nonstandard_exact', 'valid_range'","valid_range, nonstandard_exact, missing_range_bound (observed parser classes)",0,Blank in extracted/derived field; consult original PDF before inferring absence.,Pre-P2 amount classification; use to reverse the manual correction.,Filing 20033320/1 labeled missing_range_bound despite explicit exact amount.
